FIELD,meanImp,medianImp,minImp,maxImp,normHits,decision,type,index,TARGET_10A00,TARGET_10B00,TARGET_10C00,TARGET_10G00_10J00,TARGET_10H00,TARGET_10L00,TARGET_10N00,MAX ABS CORR,FINAL
SEC_THREAT_MGMT_INFRS_20B0Z_WON_DTL_REVN_COMP_SUM_C,16.7,16.4,15.3,18.1,1,Tentative,PIPE COMP,3,-1%,0%,-1%,2%,2%,-1%,0%,2%,DROP
INTR_15PHW_COMP_CNT,16.4,16.4,15.0,18.2,1,Tentative,INTR,0,0%,-2%,1%,3%,1%,0%,-4%,4%,DROP
SEC_SVC_15STS_WON_DTL_REVN_COMP_SUM_C,16.0,16.4,13.4,18.3,1,Tentative,PIPE COMP,3,-2%,-2%,-3%,4%,1%,-1%,3%,4%,KEEP
PG_CAT_PRD,16.7,16.3,15.7,18.4,1,Tentative,WEB,4,4%,-1%,3%,-4%,0%,-2%,-3%,4%,DROP
MAINFRM_HW_15MHW_COMP_YIELD_C,16.1,16.2,13.6,18.0,1,Tentative,PIPE COMP,3,-1%,-4%,2%,3%,3%,-2%,-4%,4%,DROP
PAG_EVNT_COMP_CNT_1YR,16.3,16.2,14.4,17.9,1,Tentative,WEB,4,-1%,-3%,1%,3%,2%,0%,-3%,3%,DROP
CHN_NM_DI_RESP_INDIV_CNT_1YR,16.2,16.1,14.0,18.1,1,Tentative,CHANNEL,0,-1%,-2%,2%,0%,2%,-1%,0%,2%,DROP
WATSONHEALTH_10L00_WON_DTL_REVN_COMP_SUM_C,15.7,16.1,13.8,17.3,1,Tentative,PIPE COMP,4,-1%,-1%,-2%,-1%,1%,25%,-2%,25%,DROP
ASSET_MGMT_20B1A_LEAD_COMP_SUM_C,15.7,16.1,13.6,17.4,1,Tentative,PIPE COMP,1,-2%,11%,-6%,5%,0%,0%,-4%,11%,KEEP
OO_TS_COMP_YIELD_C,16.0,16.0,14.9,17.9,1,Tentative,PIPE COMP,3,-6%,-6%,1%,12%,-1%,-3%,-2%,12%,DROP
CHN_T_VL_INDIV_CNT_1YR,16.0,16.0,14.7,17.4,1,Tentative,CHANNEL,0,0%,-3%,2%,1%,0%,-1%,-1%,3%,DROP
FIN_GRP_10H00_LEAD_INDIV_SUM_I_FLG,16.0,16.0,14.5,18.0,1,Confirmed,FLG,FLG,-1%,-2%,1%,0%,6%,-1%,-2%,6%,DROP
PG_CAT_SLTN,15.9,16.0,13.9,17.3,1,Tentative,WEB,4,5%,-2%,2%,-4%,1%,-2%,-2%,5%,DROP
ON_PRM_APP_DEV_20J3T_COMP_YIELD_C,15.7,15.9,13.9,17.3,1,Tentative,PIPE COMP,3,-4%,-4%,-6%,16%,2%,-2%,-5%,16%,DROP
PG_CAT_REG,15.5,15.9,13.5,16.8,1,Tentative,WEB,4,3%,-1%,3%,-4%,1%,-2%,-2%,4%,DROP
HYBRID_CLOUD_15CAI_LEAD_INDIV_SUM_I_FLG,15.7,15.9,13.2,17.3,1,Confirmed,FLG,FLG,-2%,-2%,-4%,11%,-1%,-1%,-3%,11%,KEEP
Z_IT_MGMT_20C05_WON_DTL_REVN_COMP_SUM_C,16.0,15.8,13.1,17.8,1,Tentative,PIPE COMP,4,0%,-2%,2%,1%,1%,-1%,-2%,2%,DROP
INTR_20CCM_COMP_CNT,16.5,15.8,14.7,19.5,1,Tentative,INTR,1,0%,-2%,1%,3%,0%,0%,-3%,3%,DROP
ALL_OTHER_UT20_15CLV_LEAD_COMP_SUM_C_FLG,15.6,15.8,13.4,18.0,1,Confirmed,FLG,FLG,-1%,2%,-1%,2%,0%,-1%,-1%,2%,DROP
Z_OS_20C09_COMP_YIELD_C,15.7,15.8,14.7,16.5,1,Tentative,PIPE COMP,4,-1%,-2%,2%,2%,1%,-1%,-3%,3%,DROP
Z_TRANS_INTGR_20C03_COMP_YIELD_C,15.9,15.7,13.4,17.4,1,Tentative,PIPE COMP,4,0%,-3%,2%,2%,1%,-1%,-3%,3%,DROP
TLNT_ACQ_20B0T_COMP_YIELD_C,16.0,15.7,14.3,17.5,1,Tentative,PIPE COMP,4,-1%,7%,-1%,0%,1%,0%,-3%,7%,DROP
UT_LVL_30_CD_INTENT_NEW_UNKNOWN,15.7,15.6,15.1,16.8,1,Tentative,LAST TOUCH UT,CAT,-3%,0%,-1%,3%,2%,-1%,1%,3%,DROP
PG_CAT_UNSP,15.6,15.6,14.0,17.4,1,Tentative,WEB,4,4%,-1%,1%,-4%,0%,-2%,-1%,4%,DROP
CHN_NM_DI_ECLCK_INDIV_CNT_1YR,16.4,15.6,14.9,19.3,1,Tentative,CHANNEL,0,-1%,-3%,2%,2%,2%,-1%,-2%,3%,DROP
Z_TRANS_SYS_20C04_LEAD_COMP_SUM_C_FLG,15.7,15.6,13.4,17.8,1,Confirmed,FLG,FLG,-1%,-2%,1%,1%,1%,0%,-2%,2%,DROP
JOB_CTGY_CD_MANAGEMENT,15.8,15.6,14.9,18.3,1,Tentative,OTHER,CAT,-3%,2%,0%,2%,0%,1%,1%,3%,KEEP
UT_LVL_20_CD_INTENT_NEW_UNKNOWN,15.3,15.6,12.9,17.8,1,Tentative,LAST TOUCH UT,CAT,-1%,0%,-4%,3%,2%,-1%,1%,4%,DROP
CLD_APP_DEV_20J2W_COMP_YIELD_C,15.4,15.6,13.1,17.2,1,Tentative,PIPE COMP,1,-3%,-3%,-5%,13%,2%,-2%,-5%,13%,DROP
THREAT_MGMT_SVC_20B1I_COMP_YIELD_C,15.5,15.6,13.3,18.6,1,Tentative,PIPE COMP,4,-1%,-2%,-2%,2%,1%,-1%,2%,2%,DROP
WAT_MEDIA_15CLV_LEAD_COMP_SUM_C_FLG,15.6,15.6,13.8,17.1,1,Confirmed,FLG,FLG,-1%,4%,-2%,2%,0%,-1%,-2%,4%,DROP
INDUSTRY_BIN_A,15.4,15.5,13.6,17.4,1,Tentative,INDUSTRY,CAT,0%,-2%,-1%,4%,-3%,-4%,1%,4%,KEEP
UT_LVL_20_CD_INTENT_NEW_CLIENT_CARE,15.7,15.5,13.7,18.8,1,Tentative,LAST TOUCH UT,CAT,3%,0%,-1%,-1%,-1%,0%,0%,3%,DROP
DATA_AI_15ANP_COMP_YIELD_C,15.6,15.5,14.4,16.9,1,Tentative,PIPE COMP,2,10%,-5%,-6%,2%,4%,-1%,-8%,10%,KEEP
HYB_CLD_SEC_20J2O_WON_DTL_REVN_COMP_SUM_C_FLG,15.6,15.5,14.2,17.3,1,Confirmed,FLG,FLG,-2%,-2%,-3%,7%,0%,-1%,-1%,7%,DROP
WATSONHEALTH_10L00_COMP_YIELD_C,15.8,15.5,14.6,17.5,1,Tentative,PIPE COMP,4,-1%,-1%,-2%,-1%,1%,24%,-2%,24%,DROP
OI_TECH_SALES_LEAD_INDIV_SUM_I_FLG,15.5,15.4,14.3,16.9,1,Confirmed,FLG,FLG,2%,-1%,3%,-2%,-1%,-1%,-1%,3%,DROP
UT20_OFFER_20AJ5_COMP_CNT_1YR,15.4,15.4,13.7,17.8,1,Tentative,OFFER,1,1%,-1%,-1%,1%,1%,2%,-2%,2%,DROP
INTR_20A11_COMP_CNT,15.7,15.4,15.0,16.9,1,Tentative,INTR,0,3%,-1%,-2%,0%,2%,0%,-2%,3%,DROP
CUST_TRNS_20J10_WON_DTL_REVN_COMP_SUM_C,15.3,15.4,12.7,17.4,1,Tentative,PIPE COMP,2,-3%,-2%,-5%,11%,2%,-1%,-4%,11%,DROP
INF_AAS_20GAA_COMP_YIELD_C,15.4,15.4,12.2,20.1,1,Tentative,PIPE COMP,2,-1%,-3%,-5%,8%,2%,-1%,-2%,8%,DROP
COMP_INST_FLG_AMAZON,15.3,15.4,14.2,16.5,1,Tentative,COMP INST,0,0%,1%,-4%,2%,1%,1%,0%,4%,KEEP
ENTR_APP_MGMT_ON_PRM_20J3H_LEAD_COMP_SUM_C,15.7,15.3,14.5,17.4,1,Tentative,PIPE COMP,2,-4%,-2%,-6%,13%,2%,-1%,-4%,13%,KEEP
CLD_MDRN_20JMW_WON_DTL_REVN_COMP_SUM_C,15.4,15.3,14.0,17.4,1,Tentative,PIPE COMP,1,-2%,-2%,-4%,9%,0%,-1%,-3%,9%,DROP
CLD_APP_MGMT_20J01_LEAD_COMP_SUM_C,15.5,15.3,14.0,17.4,1,Tentative,PIPE COMP,1,-3%,-2%,-5%,13%,0%,-1%,-4%,13%,KEEP
ID_MGMT_20B14_COMP_YIELD_C,15.5,15.3,12.7,17.1,1,Tentative,PIPE COMP,2,0%,-3%,-1%,2%,1%,-1%,-1%,3%,DROP
CLD_MGMT_20APO_WON_LEAD_COMP_SUM_C,15.4,15.2,14.6,16.6,1,Tentative,PIPE COMP,1,2%,-2%,-3%,5%,2%,-1%,-4%,5%,DROP
UT20_OFFER_20A0K_COMP_CNT_60DAYS,14.8,15.1,11.5,18.5,1,Tentative,OFFER,1,0%,-3%,2%,1%,2%,1%,-2%,3%,DROP
REDHAT_MKTPL_15S8X_LEAD_COMP_SUM_C_FLG,14.8,15.1,12.3,16.0,1,Confirmed,FLG,FLG,-1%,0%,-1%,3%,-1%,-1%,-1%,3%,DROP
INTR_GTS_COMP_CNT,15.2,15.1,13.6,17.6,1,Tentative,INTR,0,2%,0%,-2%,-1%,2%,1%,-1%,2%,DROP
UT_LVL_20_CD_INTENT_NEW_DATA_SCIENCE,15.0,15.1,13.7,15.8,1,Tentative,LAST TOUCH UT,CAT,4%,-2%,2%,-3%,-1%,2%,-3%,4%,KEEP
Z_LINUX_H_20C07_COMP_YIELD_C,15.1,15.1,13.8,17.2,1,Tentative,PIPE COMP,4,-1%,-3%,3%,2%,3%,-1%,-4%,4%,DROP
SECURITY_10N00_INDIV_YIELD_I,14.8,15.0,12.5,17.2,1,Tentative,PIPE INDIV,4,-3%,-2%,-3%,-3%,-1%,-1%,14%,14%,KEEP
COMP_INST_FLG_MICROFOCUS,14.6,15.0,11.8,16.6,1,Tentative,COMP INST,0,-1%,0%,-3%,2%,1%,1%,0%,3%,KEEP
"EMP_CNT_SEG_[5K,50K)",15.4,15.0,14.3,18.0,1,Tentative,EMP_CNT_SEG,1,2%,0%,-2%,1%,-2%,-1%,0%,2%,KEEP
BJ_UT10_LRN_SEC_COMP_CNT_60DAYS,14.7,14.9,11.6,17.1,1,Tentative,BJ,0,-1%,-2%,-1%,2%,2%,0%,0%,2%,DROP
SECURITY_10N00_WON_LEAD_COMP_SUM_C,14.9,14.9,14.2,15.5,1,Tentative,PIPE COMP,3,-5%,-4%,-5%,1%,1%,-1%,15%,15%,KEEP
OI_MARKETING_COMP_YIELD_C,14.9,14.9,13.8,16.0,1,Tentative,PIPE COMP,3,0%,1%,-1%,1%,1%,0%,-1%,1%,DROP
MAINFRM_SW_15MFT_COMP_YIELD_C,14.9,14.8,13.1,17.2,1,Tentative,PIPE COMP,3,0%,-3%,1%,3%,2%,-1%,-4%,4%,DROP
CLD_MGMT_20APO_COMP_YIELD_C,15.0,14.8,14.1,16.2,1,Tentative,PIPE COMP,1,2%,-3%,-2%,5%,3%,-1%,-5%,5%,DROP
Z_DEV_OPS_20C01_WON_DTL_REVN_COMP_SUM_C,14.8,14.8,13.6,15.5,1,Tentative,PIPE COMP,4,0%,-2%,1%,2%,1%,-1%,-2%,2%,DROP
STOR_HYB_CLD_20COP_LEAD_INDIV_SUM_I_FLG,14.8,14.8,12.9,17.0,1,Confirmed,FLG,FLG,-5%,-3%,12%,-1%,-1%,-1%,-3%,12%,DROP
COMP_INST_FLG_AUTODESK,14.9,14.7,13.5,16.5,1,Tentative,COMP INST,0,-1%,2%,-3%,2%,1%,0%,0%,3%,DROP
FIN_GRP_10H00_WON_LEAD_COMP_SUM_C,14.5,14.7,12.3,15.8,1,Tentative,PIPE COMP,2,-3%,-3%,-2%,7%,9%,-1%,-5%,9%,DROP
TSS_MULTI_VEND_20G19_LEAD_INDIV_SUM_I_FLG,14.5,14.6,13.1,16.0,1,Confirmed,FLG,FLG,-2%,-2%,0%,6%,-1%,-1%,-2%,6%,DROP
COG_SYS_15PHW_COMP_YIELD_C,14.3,14.6,12.6,15.0,1,Tentative,PIPE COMP,2,-6%,-6%,10%,3%,5%,-1%,-7%,10%,DROP
CLD_APP_DEV_20J2W_WON_DTL_REVN_COMP_SUM_C,14.6,14.6,12.1,16.9,1,Tentative,PIPE COMP,1,-2%,-2%,-4%,9%,0%,-1%,-3%,9%,DROP
ALL_OTHER_UT20_15WCG_COMP_YIELD_C,14.2,14.6,12.8,15.3,1,Tentative,PIPE COMP,1,0%,0%,-1%,3%,1%,-1%,-2%,3%,DROP
STOR_ZSYS_20C9O_COMP_YIELD_C,14.4,14.5,11.0,16.4,1,Tentative,PIPE COMP,4,-2%,-3%,5%,2%,2%,-1%,-4%,5%,DROP
Z_LINUX_M_20C08_WON_DTL_REVN_COMP_SUM_C,14.7,14.5,13.1,16.8,1,Tentative,PIPE COMP,4,-1%,-1%,3%,1%,2%,-1%,-3%,3%,DROP
BJ_UT10_BUY_CNDP_COMP_CNT_1YR,14.1,14.5,11.3,16.1,1,Tentative,BJ,0,0%,-3%,2%,2%,1%,-1%,-3%,3%,DROP
DB_ZOS_20AYJ_WON_DTL_REVN_COMP_SUM_C,13.6,14.5,10.2,15.7,1,Tentative,PIPE COMP,2,0%,-2%,2%,1%,1%,-1%,-2%,2%,DROP
IBM_AUTO_15IGO_COMP_YIELD_C,14.4,14.4,13.7,15.3,1,Tentative,PIPE COMP,2,5%,-5%,-4%,5%,4%,-2%,-7%,7%,DROP
SEC_THREAT_MGMT_20NYE_COMP_YIELD_C,14.1,14.4,12.0,16.8,1,Tentative,PIPE COMP,3,-2%,-3%,-2%,2%,2%,0%,5%,5%,DROP
CMPLX_ENG_20B1C_WON_DTL_REVN_COMP_SUM_C,14.2,14.4,13.3,15.1,1,Tentative,PIPE COMP,2,-1%,4%,-2%,2%,0%,0%,-3%,4%,DROP
DATA_TECH_TRNS_20J05_COMP_YIELD_C,14.2,14.3,11.7,16.0,1,Tentative,PIPE COMP,2,-3%,-2%,-6%,14%,3%,-1%,-5%,14%,DROP
BJ_BUY_COMP_CNT_60DAYS,14.4,14.3,12.4,17.4,1,Tentative,BJ,0,-2%,-3%,4%,2%,2%,-1%,-3%,4%,DROP
PAG_UT10_OTH_SYSWT_COMP_CNT_1YR,14.3,14.3,12.2,16.1,1,Tentative,WEB,4,-1%,-3%,3%,2%,1%,0%,-2%,3%,DROP
FIN_GRP_10H00_COMP_YIELD_C,14.2,14.2,11.6,16.1,1,Tentative,PIPE COMP,2,-3%,-4%,-1%,5%,13%,-2%,-6%,13%,KEEP
INDUSTRY_BIN_C,13.9,14.2,12.0,15.1,1,Tentative,INDUSTRY,CAT,1%,3%,-1%,-2%,-2%,4%,0%,4%,KEEP
DATA_TECH_TRNS_20J05_LEAD_INDIV_SUM_I_FLG,14.0,14.2,12.4,16.3,1,Confirmed,FLG,FLG,-2%,-1%,-4%,9%,-1%,-1%,-3%,9%,KEEP
BJ_UT20_LRN_20B0Z_COMP_CNT_1YR,13.4,14.2,11.2,15.5,1,Tentative,BJ,0,-2%,-3%,0%,1%,2%,-1%,2%,3%,DROP
DB_ZOS_20AYJ_COMP_YIELD_C,13.9,14.1,10.4,16.5,1,Tentative,PIPE COMP,2,0%,-2%,2%,2%,2%,-1%,-3%,3%,DROP
PAG_UT10_DNMM_CA_COMP_CNT_1YR,13.9,14.0,11.1,16.4,1,Tentative,WEB,4,-1%,1%,-2%,2%,2%,0%,-2%,2%,DROP
STOR_CYBER_RES_20CSN_WON_DTL_REVN_COMP_SUM_C,13.7,14.0,11.0,15.8,1,Tentative,PIPE COMP,3,-1%,-2%,3%,2%,1%,-1%,-3%,3%,DROP
SEC_THREAT_MGMT_20NYE_LEAD_INDIV_SUM_I_FLG,14.3,14.0,11.2,18.1,1,Confirmed,FLG,FLG,-3%,-2%,-3%,-3%,-1%,-1%,14%,14%,KEEP
Z_IT_MGMT_20C05_COMP_YIELD_C,13.4,14.0,10.7,15.4,1,Tentative,PIPE COMP,4,0%,-2%,2%,2%,1%,-1%,-3%,3%,DROP
DATA_SEC_20B15_COMP_YIELD_C,13.5,14.0,10.4,15.5,1,Tentative,PIPE COMP,2,0%,-2%,0%,1%,1%,0%,0%,2%,DROP
XFORCE_RED_OFF_20B1E_COMP_YIELD_C,13.6,14.0,11.6,14.9,1,Tentative,PIPE COMP,4,-1%,-1%,-2%,2%,0%,0%,1%,2%,DROP
COGAPP_10B00_COMP_YIELD_C,14.1,13.9,12.6,16.0,1,Tentative,PIPE COMP,2,-3%,19%,-6%,1%,3%,-1%,-7%,19%,DROP
INTR_20A0N_COMP_CNT,13.6,13.9,11.0,15.2,1,Tentative,INTR,0,2%,2%,-2%,-1%,1%,2%,-1%,2%,DROP
STOR_NETW_20C0F_WON_DTL_REVN_COMP_SUM_C,14.2,13.9,10.8,17.0,1,Tentative,PIPE COMP,4,-2%,-2%,3%,2%,1%,-1%,-3%,3%,DROP
BUS_AREA_NAME_UNKNOWN,14.1,13.9,13.0,16.5,1,Tentative,BUS_AREA_NAME,CAT,-1%,0%,0%,3%,-1%,0%,-1%,3%,DROP
BJ_UT10_LRN_GTS_COMP_CNT_60DAYS,14.2,13.8,8.9,21.5,1,Tentative,BJ,0,0%,-2%,-1%,3%,2%,1%,-2%,3%,DROP
B2B_COLLAB_20B2P_COMP_YIELD_C,13.7,13.8,11.9,14.8,1,Tentative,PIPE COMP,1,-1%,11%,-3%,0%,1%,-1%,-4%,11%,DROP
IND_SCORE_NEW_E2,14.0,13.8,12.5,16.3,1,Tentative,OTHER,CAT,1%,-2%,2%,0%,-1%,-1%,-1%,2%,DROP
PAG_UT15_BNDS_15ANP_COMP_CNT_1YR,13.7,13.8,11.5,15.5,1,Tentative,WEB,4,-1%,-1%,0%,1%,3%,1%,-1%,3%,DROP
STOR_DATA_AI_20COE_WON_DTL_REVN_COMP_SUM_C,13.6,13.8,11.8,15.7,1,Tentative,PIPE COMP,3,-2%,-1%,4%,1%,0%,1%,-3%,4%,DROP
B2B_COLLAB_20B2P_LEAD_COMP_SUM_C,13.9,13.7,12.4,15.5,1,Tentative,PIPE COMP,1,0%,9%,-3%,1%,0%,0%,-4%,9%,KEEP
SYSTEMS_10C00_INDIV_YIELD_I,13.7,13.7,10.3,16.5,1,Tentative,PIPE INDIV,4,-3%,-3%,9%,-1%,-1%,-1%,-3%,9%,DROP
DATA_AI_15ANP_INDIV_YIELD_I,13.8,13.6,12.9,14.8,1,Tentative,PIPE INDIV,4,8%,-2%,-2%,-2%,-1%,-1%,-3%,8%,KEEP
ON_PRM_MDRN_20JVJ_WON_DTL_REVN_COMP_SUM_C,13.6,13.6,12.0,15.5,1,Tentative,PIPE COMP,3,-3%,-3%,-3%,10%,1%,-1%,-3%,10%,DROP
TLNT_DEV_20B0U_COMP_YIELD_C,13.7,13.6,10.6,15.9,1,Tentative,PIPE COMP,4,-1%,1%,-1%,3%,2%,-1%,-3%,3%,DROP
ENTR_LINUX_20C0G_LEAD_COMP_SUM_C_FLG,13.4,13.6,10.1,15.1,1,Confirmed,FLG,FLG,-1%,-2%,4%,0%,-1%,0%,-2%,4%,DROP
SEC_THREAT_MGMT_20NYE_WON_LEAD_COMP_SUM_C,13.7,13.6,11.8,16.2,1,Tentative,PIPE COMP,3,-2%,-3%,-3%,1%,0%,-1%,7%,7%,DROP
COGAPP_10B00_WON_LEAD_COMP_SUM_C,13.4,13.6,10.4,15.7,1,Tentative,PIPE COMP,2,-2%,14%,-5%,3%,1%,-1%,-6%,14%,DROP
CHN_NM_DI_ECLCK_COMP_CNT_60DAYS,13.8,13.6,11.2,16.3,1,Tentative,CHANNEL,0,0%,-3%,0%,3%,2%,-1%,-3%,3%,DROP
BJ_UT10_DIS_CNDP_COMP_CNT_1YR,13.5,13.5,12.4,15.2,1,Tentative,BJ,0,1%,-1%,-1%,1%,1%,1%,-2%,2%,DROP
SEC_RES_PRJ_SVC_20GWT_COMP_YIELD_C,13.4,13.4,12.4,15.3,1,Tentative,PIPE COMP,3,-1%,-2%,-4%,7%,2%,-1%,-1%,7%,DROP
COG_SYS_15PHW_WON_LEAD_COMP_SUM_C,13.3,13.4,11.3,14.8,1,Tentative,PIPE COMP,2,-4%,-4%,8%,3%,3%,-1%,-6%,8%,DROP
UT10_OFFER_MISC_COMP_CNT_1YR,13.7,13.3,12.5,16.3,1,Tentative,OFFER,1,1%,-1%,-2%,3%,0%,1%,-2%,3%,DROP
TRAD_DIST_STOR_20C0M_WON_DTL_REVN_COMP_SUM_C,13.1,13.3,9.6,15.4,1,Tentative,PIPE COMP,4,-2%,-2%,3%,2%,2%,-1%,-2%,3%,DROP
SECURITY_10N00_WON_DTL_REVN_INDIV_SUM_I_FLG,13.6,13.2,11.1,16.0,1,Confirmed,FLG,FLG,-4%,-2%,-3%,-3%,-1%,-1%,16%,16%,KEEP
RESP_MONTH,13.1,13.2,10.7,15.3,1,Tentative,OTHER,1,2%,-1%,0%,1%,-3%,-3%,0%,3%,KEEP
BJ_UT20_LRN_20A0K_COMP_CNT_1YR,13.3,13.1,10.7,15.6,1,Tentative,BJ,0,1%,-2%,-1%,1%,2%,2%,-2%,2%,DROP
SEC_SVC_15STS_WON_LEAD_COMP_SUM_C,13.5,13.1,11.1,16.1,1,Tentative,PIPE COMP,3,-3%,-3%,-4%,6%,2%,-1%,3%,6%,DROP
BJ_UT10_TRY_SEC_COMP_CNT_1YR,13.2,13.0,11.5,14.6,1,Tentative,BJ,0,-2%,-2%,-1%,1%,2%,0%,2%,2%,DROP
CUST_TRNS_20J10_COMP_YIELD_C,12.8,13.0,10.5,15.4,1,Tentative,PIPE COMP,2,-4%,-3%,-6%,14%,3%,-1%,-5%,14%,DROP
COMP_REV_SEG_UNKNOWN,13.1,13.0,11.7,14.7,1,Tentative,COMP_REV_SEG,CAT,-2%,0%,2%,-1%,3%,0%,0%,3%,DROP
INTR_20A0M_COMP_CNT,13.0,12.9,10.3,15.3,1,Tentative,INTR,0,2%,-1%,-1%,0%,1%,0%,-2%,2%,DROP
COMP_TECH_20C02_WON_DTL_REVN_COMP_SUM_C,12.9,12.9,11.3,14.9,1,Tentative,PIPE COMP,2,0%,-1%,0%,2%,1%,-1%,-2%,2%,DROP
WAT_PAYER_20B1S_COMP_YIELD_C,12.9,12.8,11.3,14.3,1,Tentative,PIPE COMP,4,-1%,1%,-1%,0%,0%,10%,-2%,10%,DROP
BJ_UT20_LRN_20A11_COMP_CNT_1YR,13.1,12.8,10.5,14.9,1,Tentative,BJ,0,1%,-2%,-1%,2%,1%,0%,-2%,2%,DROP
SEC_SVC_15STS_COMP_YIELD_C,12.5,12.8,10.2,15.6,1,Tentative,PIPE COMP,3,-2%,-3%,-4%,6%,3%,-1%,1%,6%,DROP
UT20_OFFER_20D0F_COMP_CNT_1YR,13.2,12.8,11.1,14.9,1,Tentative,OFFER,1,1%,-2%,0%,1%,1%,0%,-1%,2%,DROP
INTR_20C09_COMP_CNT,12.8,12.7,9.8,16.0,1,Tentative,INTR,1,0%,-1%,0%,1%,1%,0%,-2%,2%,DROP
COMP_INST_FLG_IBM,13.1,12.7,11.9,14.5,1,Tentative,COMP INST,0,0%,0%,-3%,2%,1%,1%,0%,3%,DROP
BJ_UT10_LRN_CA_COMP_CNT_60DAYS,13.4,12.6,10.7,17.2,1,Tentative,BJ,0,0%,0%,-1%,1%,1%,1%,-2%,2%,DROP
SUPPLY_CHAIN_20B2O_COMP_YIELD_C,12.4,12.6,10.7,13.9,1,Tentative,PIPE COMP,4,0%,3%,-1%,0%,2%,-1%,-2%,3%,DROP
COMP_INST_FLG_CITRIX,12.3,12.5,10.3,13.7,1,Tentative,COMP INST,0,-1%,1%,-3%,2%,1%,1%,1%,3%,KEEP
COG_PROC_SVC_BPO_20J07_WON_DTL_REVN_COMP_SUM_C,12.3,12.5,10.7,13.9,1,Tentative,PIPE COMP,2,-2%,-2%,-4%,8%,1%,0%,-2%,8%,DROP
OI_MARKETING_WON_LEAD_COMP_SUM_C,12.6,12.5,11.7,13.5,1,Tentative,PIPE COMP,3,0%,0%,0%,2%,0%,1%,-2%,2%,DROP
INTR_15IGO_INDIV_CNT,12.8,12.4,10.2,16.8,1,Tentative,INTR,0,2%,1%,-2%,-1%,1%,0%,0%,2%,DROP
SECURITY_10N00_WON_LEAD_INDIV_SUM_I_FLG,12.1,12.4,9.2,14.1,1,Confirmed,FLG,FLG,-4%,-2%,-3%,-3%,-1%,-1%,16%,16%,KEEP
"COMP_REV_SEG_[100M,INF)",12.3,12.3,11.2,14.7,1,Tentative,COMP_REV_SEG,1,2%,0%,-2%,2%,-1%,0%,-2%,2%,KEEP
B2B_COLLAB_20B2P_WON_LEAD_COMP_SUM_C,12.5,12.3,11.3,14.0,1,Tentative,PIPE COMP,1,-1%,10%,-3%,0%,0%,-1%,-4%,10%,DROP
CLD_MDRN_20JMW_WON_LEAD_COMP_SUM_C,12.2,12.3,10.8,13.2,1,Tentative,PIPE COMP,1,-3%,-3%,-4%,11%,1%,-1%,-3%,11%,DROP
SEC_THREAT_MGMT_INFRS_20B0Z_COMP_YIELD_C,12.3,12.3,11.4,13.2,1,Tentative,PIPE COMP,3,-1%,-1%,-1%,1%,2%,-1%,1%,2%,DROP
ASSET_MGMT_20B1A_COMP_YIELD_C,11.9,12.3,9.6,13.5,1,Tentative,PIPE COMP,1,-1%,7%,-4%,2%,1%,0%,-4%,7%,DROP
CLD_APP_MGMT_20J01_WON_DTL_REVN_COMP_SUM_C,12.5,12.2,11.3,14.5,1,Tentative,PIPE COMP,1,-2%,-1%,-4%,9%,0%,-1%,-3%,9%,DROP
PUB_CLD_CONS_20A46_COMP_YIELD_C,12.3,12.2,11.4,13.4,1,Tentative,PIPE COMP,3,6%,-3%,-6%,4%,2%,-1%,-5%,6%,DROP
IND_SCORE_NEW_NW,12.7,12.2,11.4,14.7,1,Tentative,OTHER,CAT,0%,0%,1%,1%,-1%,0%,-1%,1%,DROP
IBM_AUTO_15IGO_INDIV_YIELD_I,12.0,12.2,11.0,12.7,1,Tentative,PIPE INDIV,4,5%,-1%,-1%,-1%,-1%,-1%,-3%,5%,DROP
STOR_DATA_AI_20COE_COMP_YIELD_C,12.0,12.1,10.1,13.8,1,Tentative,PIPE COMP,3,-1%,-2%,4%,1%,1%,0%,-4%,4%,DROP
PUB_CLD_INF_20D0C_WON_DTL_REVN_COMP_SUM_C,12.1,12.1,11.3,13.3,1,Tentative,PIPE COMP,3,4%,-1%,-3%,1%,1%,-1%,-3%,4%,DROP
COMP_INST_FLG_MICROSOFT,12.1,12.1,10.4,14.3,1,Tentative,COMP INST,0,-1%,1%,-3%,1%,1%,1%,1%,3%,KEEP
POWERAI_20C0R_WON_DTL_REVN_COMP_SUM_C,12.0,12.1,9.7,13.4,1,Tentative,PIPE COMP,3,-1%,-1%,3%,0%,0%,0%,-3%,3%,DROP
UT10_OFFER_SYSWT_COMP_CNT_60DAYS,12.3,12.0,10.8,14.7,1,Tentative,OFFER,1,-1%,-3%,3%,2%,2%,0%,-3%,3%,DROP
IND_SCORE_NEW_N3,12.1,12.0,10.1,13.7,1,Tentative,OTHER,CAT,1%,0%,-1%,-1%,-1%,0%,0%,1%,DROP
BJ_UT15_LRN_153QH_COMP_CNT_1YR,12.3,12.0,11.1,14.1,1,Tentative,BJ,0,1%,-1%,-1%,1%,2%,0%,-2%,2%,DROP
JOB_FUNCTION_BIN_C,11.8,12.0,10.3,13.4,1,Tentative,JOB_FUNCTION,CAT,2%,3%,-3%,-1%,1%,2%,-2%,3%,KEEP
UT20_OFFER_20D0C_COMP_CNT_1YR,11.9,11.9,10.7,12.5,1,Tentative,OFFER,1,-1%,-3%,3%,3%,0%,-1%,-2%,3%,DROP
